1,Advocate,To publicly support or recommend a cause or policy,She advocates for animal rights by volunteering at shelters.,"Oppose, criticize"
2,Afford,To have enough resources to do or buy something,I can finally afford a new bike after saving for months,"Lack, forfeit"
3,Clinical,Objective and unemotional; related to medical treatment,His clinical approach to problem-solving makes him an excellent scientist,"Emotional, subjective"
4,Constitute,To make up or form something,These 10 players constitute the best soccer team in the league.,"Disband, dissolve"
5,Controversial,Causing disagreement or debate,The new school policy became a controversial topic among parents.,"Uncontroversial, agreeable"
6,Convey,To communicate or make known,The teacher used stories to convey the importance of honesty.,"Withhold, obscure"
7,Counterproductive,Having the opposite effect of what is intended,Skipping meals to lose weight is counterproductive and can harm your health,"Effective, productive"
8,Doctrine,A set of beliefs held by a group or organization,The school follows a doctrine of respect and inclusivity,"Anarchy, disbelief"
9,Dreary,"Dull, bleak, or depressing",The rainy weather made the whole day feel dreary.,"Bright, cheerful"
10,Entail,To involve or require as a necessary step,Becoming a doctor entails years of study and training,"Exclude, eliminate"
11,Entrenched,Firmly established and difficult to change,The tradition of Sunday family dinners is deeply entrenched in our household,"Unstable, temporary"
12,Fluctuate,To change or vary irregularly,The temperature fluctuates dramatically in the desert,"Stabilize, remain constant"
13,Foment,To instigate or stir up,The leader's speech was intended to foment rebellion against the unjust law,"Deter, suppress"
14,Geriatric,Relating to old age or elderly people,The hospital opened a new geriatric ward to care for older patients.,"Youthful, adolescent"
15,Pitiable,Deserving pity or sympathy,The stray dog's pitiable condition moved everyone to tears.,"Admirable, enviable"
16,Pragmatic,Dealing with things sensibly and realistically,His pragmatic approach to saving money helped him buy a car quickly.,"Impractical, idealistic"
17,Prompt,To cause or bring about an action; immediate or on time,Her question prompted a lively discussion in the class,"Discourage, delay"
18,Prosecute,To officially charge someone with a crime and pursue legal action,The state decided to prosecute the case despite limited evidence.,"Defend, pardon"
19,Reluctantly,In an unwilling or hesitant manner,He reluctantly agreed to help clean up the mess after the party.,"Willingly, eagerly"
20,Renounce,To formally give up or reject something,He decided to renounce his claim to the inheritance for the sake of family peace,"Embrace, accept"
21,Repudiate,To refuse to accept or be associated with,The politician was quick to repudiate the allegations of corruption.,"Accept, endorse"
22,Sentiment,A view or opinion that is influenced by emotion,The heartfelt sentiment in her letter brought tears to my eyes.,"Indifference, apathy"
23,Substantial,"Of considerable importance, size, or worth",The fundraiser collected a substantial amount of money for the charity.,"Insignificant, small"
24,Validate,To confirm or prove something as true,The scientist's findings were validated by further experiments.,"Invalidate, disprove"
25,Yield,To produce or provide; to,The farm yields enough,"Resist, retain"
