1,Inhibit(ing),To restrain or hinder,Fear of failure can inhibit success.,Encourage
2,Innate,Inborn or natural,She has an innate ability to communicate.,Acquired
3,Innocuous,Harmless,"His joke was innocuous, but it still offended some people.",Harmful
4,Insular(ity),Isolated or narrow-minded,His insular views made it difficult to discuss global issues.,Open-minded
5,Inundate,To overwhelm or flood,The city was inundated by a massive storm.,Drain
6,"Latent, Latency",Present but not visible or active,The latent talent of the student was revealed in the final exam.,Active
7,"Mitigate, Mitigator",To make less severe or serious,They tried to mitigate the damage caused by the hurricane.,Aggravate
8,Modicum,A small quantity,He showed a modicum of respect during the debate.,Abundance
9,Motley,Varied or diverse,The motley crew included people from all walks of life.,Homogeneous
10,Parch,To dry out or dehydrate,"The sun parched the land, leaving it barren.",Moisten
11,Paucity,A scarcity or lack of something,There is a paucity of evidence to support the claim.,Abundance
12,Peripheral,On the edge or outer boundary,The issue was peripheral to the main discussion.,Central
13,Plasticity,The ability to be shaped or molded,The plasticity of the brain allows it to adapt to new experiences.,Rigidity
14,"Plethora, Plethoric",An excessive amount,The plethora of options made it hard to choose a restaurant.,Scarcity
15,"Pliable, Pliant",Easily bent or influenced,The pliable clay was perfect for sculpting.,Rigid
16,Preclude,To prevent or make impossible,His injury precluded him from playing in the game.,Allow
17,Prodigious,Remarkably large or impressive,"He had a prodigious appetite, eating five plates of food.",Small
18,"Profuse, Profusion",Plentiful or abundant,The profusion of flowers made the garden beautiful.,Sparse
19,"Prohibitive, Prohibition",Excessively high or restrictive,The cost of the car was prohibitive for most buyers.,Affordable
20,"Proliferate, Proliferation",To increase rapidly,The company has proliferated since launching its new product.,Diminish
21,Prolific,Productive or creative,"She is a prolific writer, publishing several books a year.",Unproductive
22,Quell,To suppress or put an end to,The police were called to quell the riot.,Encourage
23,Rampant,Spreading unchecked,Crime was rampant in the city during the 90s.,Controlled
24,Ravenous,Extremely hungry,"After the hike, he was ravenous and ate everything in sight.",Full
25,Reap,"To gather or harvest, especially crops","After months of hard work, they were finally able to reap the rewards of their efforts.","Sow, plant"
